,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
427,90.0,106800.0,1914,1,100,55.1,3.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,315.0,398.0,-73.97518,40.595698
428,83.0,130800.0,1930,1,100,63.9,3.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,437.3,3.0,0,0,312.0,214.0,-74.00374,40.632936
429,93.0,99600.0,1898,1,100,46.9,2.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,582.9,3.0,0,0,304.0,435.0,-73.913056,40.693879
430,100.0,48060.0,1931,1,100,34.8,1.54862,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,2.0,0,0,306.0,167.0,-73.981289,40.663251
431,92.0,132000.0,1909,2,100,52.7,3.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,311.0,288.0,-73.995545,40.604871
432,75.0,60000.0,1930,1,100,64.2,6.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,307.0,500.0,-73.975607,40.648884
433,27.0,69600.0,1931,1,100,99.1,4.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,10.1,3.0,0,0,317.0,870.0,-73.933114,40.65364
434,81.0,74400.0,1930,1,100,58.7,3.1,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,1302.7,3.0,0,0,316.0,896.0,-73.911053,40.65744
440,95.0,171600.0,1930,1,100,46.7,3.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,415.6,3.0,0,0,305.0,1104.0,-73.885387,40.66011
441,85.0,123600.0,1915,1,100,61.1,4.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,390.5,3.0,0,0,307.0,92.0,-74.001903,40.64629
442,86.0,145200.0,1924,1,100,57.7,3.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,201.3,3.0,0,0,312.0,470.0,-73.989672,40.627029
443,93.0,48360.0,1973,1,100,44.2,5.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,2.0,0,0,305.0,1104.0,-73.887023,40.660134
444,84.0,112800.0,1931,1,100,44.7,3.8,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,232.0,3.0,0,0,312.0,446.0,-73.97635,40.615252
445,78.0,147680.0,1938,1,100,54.9,4.3,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,525.8,3.0,0,0,315.0,558.0,-73.955485,40.60422
446,85.0,106800.0,1959,1,100,51.1,2.9,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,303.0,253.0,-73.950433,40.690725
447,82.0,97200.0,1952,1,100,56.3,4.0,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,446.9,3.0,0,0,317.0,788.0,-73.948159,40.637711
448,78.0,86400.0,1986,1,100,60.2,2.7,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,820.0097860923083,3.0,0,0,302.0,193.0,-73.961478,40.690202
449,96.0,160800.0,1960,1,100,39.7,2.6,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,319.1,4.0,0,0,315.0,666.0,-73.939176,40.60665
450,48.0,97200.0,1930,1,100,58.0,5.4,0.0,79.5,0.0,1.4011852640000002,0.0,0.0,0.0,99.802,100.0,857.4,3.0,0,0,316.0,906.0,-73.908194,40.670986
