,score,property_id,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
23303,94,10405209.0,106450.0,1915.0,1,100,428245.7,251.6,113.2,79.5,0.0,0.0,1.78488,1.05214,0.0,112.0,1.05214,90.0,100.0,4594.425778134381,6.0,0,0,205.0,23301.0,-73.908169,40.849197
23305,50,10405321.0,46896.0,1913.0,1,100,274110.5,180.3,74.3,79.5,0.0,0.0,1.87649,0.87428,0.0,41.0,0.87428,90.0,100.0,4594.425778134381,6.0,0,0,205.0,241.0,-73.906705,40.851951
23306,46,10405357.0,55350.0,1925.0,1,100,315246.4,231.1,85.1,79.5,0.0,0.0,1.95122,0.88528,0.0,49.0,0.88528,90.0,100.0,4594.425778134381,5.0,0,0,205.0,241.0,-73.907445,40.852399
23309,58,10405504.0,32940.0,1913.0,1,100,138985.5,146.3,37.7,79.5,0.0,0.0,2.034,0.91075,0.0,30.0,0.91075,90.0,100.0,4594.425778134381,5.0,0,0,205.0,241.0,-73.906531,40.852143
23311,100,10405616.0,37090.0,1924.0,1,100,163011.3,9.6,44.2,79.5,0.0,0.0,1.5368,1.37503,0.0,51.0,1.37503,90.0,100.0,2192.1,7.0,0,0,205.0,22701.0,-73.910375,40.84837
23312,11,10405757.0,28418.0,1923.0,1,100,128654.5,183.5,34.9,79.5,0.0,0.0,1.65388,0.80935,0.0,23.0,0.80935,90.0,100.0,1856.4,6.0,0,0,205.0,23301.0,-73.908137,40.851143
23314,34,10408072.0,166379.0,2006.0,1,100,879471.5,433.8,239.6,79.5,0.0,0.0,0.7631076,0.5759018,0.39067,0.0,0.0,73.35970197368421,95.78447655077947,6012.8,3.0,3,0,208.0,30701.0,-73.911938,40.88786849
23332,12,10419322.0,47530.0,1931.0,1,100,262776.7,213.4,73.6,79.5,0.0,0.0,1.39996,1.20008,0.0,0.0,0.0,73.35970197368421,95.78447655077947,6191.1,8.0,0,0,206.0,363.0,-73.880978,40.846529
23333,100,10419351.0,142939.0,2018.0,1,100,628723.7,23.3,177.6,79.5,0.0,0.0,1.63706,1.09837,1.09837,0.0,0.0,73.35970197368421,95.78447655077947,10811.0,8.0,5,0,201.0,63.0,-73.92822874,40.818796
23334,1,10419513.0,74594.0,1929.0,1,100,472033.3,564.3,133.3,79.5,0.0,0.0,1.39998,1.19996,0.0,0.0,0.0,73.35970197368421,95.78447655077947,16419.4,10.0,0,0,204.0,18102.0,-73.919327,40.83095
23335,98,10419514.0,77812.0,1929.0,1,100,453323.2,21.4,125.2,79.5,0.0,0.0,1.40004,1.19994,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,8.0,0,0,204.0,18102.0,-73.919226,40.83112
23337,58,10423700.0,25280.0,2018.0,1,100,872669.6045350895,111.3,13.0,79.5,0.0,0.0,1.42405,1.66139,0.0,24.0,0.94937,0.0,100.0,28611.841999999982,3.0,0,0,205.0,23502.0,-73.90400700000001,40.850297
23338,58,10423759.0,28595.0,2017.0,1,100,63461.9,39.7,17.2,79.5,0.0,0.0,1.3999,1.46879,0.0,24.0,0.83931,0.0,100.0,28611.841999999982,3.0,0,0,204.0,22902.0,-73.906734,40.844019
23339,84,10431303.0,117477.0,2017.0,1,100,700746.6,244.7,192.4,79.5,0.0,0.0,1.32792,0.81718,0.0,96.0,0.81718,90.0,100.0,4186.2,6.0,0,0,201.0,51.0,-73.927649,40.811367
23340,100,10432710.0,350049.0,2017.0,1,90,1334953.6,105.3,361.9,79.5,0.0,0.0,1.49693,0.87131,0.87131,0.0,0.0,90.0,100.0,4594.425778134381,5.0,0,0,203.0,141.0,-73.91247,40.824479
23343,95,10434414.0,40454.0,2018.0,1,90,190549.6,88.6,51.7,79.5,0.0,0.0,1.9034,1.03822,0.0,42.0,1.03822,90.0,100.0,2910.8,5.0,0,0,203.0,123.0,-73.891367,40.832632
23360,100,10439959.0,59546.0,1937.0,1,100,196408.3,31.7,56.4,79.5,0.0,0.0,0.89007,0.89007,0.0,53.0,0.89007,90.0,100.0,4594.425778134381,10.0,0,0,211.0,22404.0,-73.866537,40.850795
23361,53,10442321.0,41250.0,1924.0,1,100,289608.7,185.0,80.1,79.5,0.0,0.0,3.605774,1.11515,0.0,12.0,0.29091,100.0,100.0,7730.9,9.0,0,0,205.0,21502.0,-73.91513,40.846985
23371,72,10497465.0,60000.0,2006.0,1,100,268034.1,176.7,75.2,79.5,0.0,0.0,1.38333,0.9,0.0,54.0,0.9,0.0,0.0,5944.0,6.0,0,0,205.0,243.0,-73.911461,40.852603
23375,16,10510082.0,32028.0,2009.0,1,100,290092.0,233.9,78.7,79.5,0.0,0.0,2.96616,1.7804211999999997,0.0,75.0,1.6472331999999985,73.35970197368421,95.78447655077947,5056.8,2.0,2,0,203.0,185.0,-73.906953,40.827268
23376,2,10510119.0,23176.0,2008.0,1,100,410437.3,114.3,111.7,79.5,0.0,0.0,2.07111,1.7804211999999997,0.0,48.0,1.6472331999999985,100.0,100.0,4594.425778134381,3.0,4,0,205.0,21502.0,-73.916398,40.847134
23377,85,10510121.0,24392.0,1909.46,1,100,138478.8,66.6,37.5,79.5,0.0,0.0,2.04985,1.47589,0.0,36.0,1.47589,73.35970197368421,95.78447655077947,4594.425778134381,3.0,3,0,201.0,73.0,-73.907033,40.813487
23378,5,10510122.0,30840.0,1909.46,1,100,199622.7,287.8,54.1,79.5,0.0,0.0,1.62127,0.97276,0.0,30.0,0.97276,73.35970197368421,95.78447655077947,3710.3,3.0,1,0,202.0,12901.0,-73.899992,40.823568
23383,100,10514778.0,176233.0,2015.0,1,100,604228.0,220.5,169.2,79.5,0.0,0.0,1.35616,1.11216,1.11216,0.0,0.0,73.35970197368421,95.78447655077947,8619.9,8.0,5,0,203.0,157.0,-73.885201,40.832837
23385,96,10515077.0,174046.0,1909.46,1,100,846895.5,208.4,236.5,79.5,0.0,0.0,1.14912,0.5759018,0.57456,0.0,0.0,73.35970197368421,95.78447655077947,12895.4,7.0,5,0,203.0,157.0,-73.8851,40.833004
23393,29,10515151.0,25695.0,1931.0,1,100,187189.9,111.3,50.8,79.5,0.0,0.0,1.5178,1.47889,0.0,38.0,1.47889,73.35970197368421,95.78447655077947,2235.9,5.0,3,0,203.0,157.0,-73.886714,40.833772
23394,43,10515152.0,44750.0,1925.0,1,100,307729.4,170.0,86.0,79.5,0.0,0.0,1.78771,1.38548,0.0,62.0,1.38548,73.35970197368421,95.78447655077947,4594.425778134381,4.0,3,0,203.0,157.0,-73.886776,40.833709
23418,92,10530097.0,162022.0,2015.0,1,100,666230.0,256.5,180.6,79.5,0.0,0.0,0.86408,0.74064,0.0,120.0,0.74064,0.0,0.0,4594.425778134381,6.0,0,0,202.0,12901.0,-73.900336,40.822745
23420,58,10530180.0,68090.0,1950.0,1,100,280111.3,264.6575215753793,80.1,79.5,0.0,0.0,1.52724,1.01336,0.0,69.0,1.01336,90.0,100.0,7724.4,10.0,0,0,208.0,309.0,-73.909426,40.876181
23421,18,10531508.0,52510.0,1926.0,1,95,441621.8,167.1,119.8,79.5,0.0,0.0,1.18073,0.85698,0.0,45.0,0.85698,90.0,100.0,7379.9,13.0,0,0,202.0,117.0,-73.885946,40.816057
23427,100,10534244.0,26235.0,1926.0,1,100,100593.2,38.7,28.7,79.5,0.0,0.0,1.60092,1.06728,0.0,28.0,1.06728,90.0,100.0,4594.425778134381,8.0,0,0,209.0,92.0,-73.853321,40.831618
23445,58,10537972.0,54014.0,1939.0,1,100,143745.8,264.6575215753793,39.9,79.5,0.0,0.0,1.27282,0.72204,0.0,39.0,0.72204,90.0,100.0,3863.8,7.0,0,0,204.0,63.0,-73.927003,40.823976
23446,58,10538009.0,47850.0,1929.0,1,100,157803.9,264.6575215753793,44.3,79.5,0.0,0.0,1.33671,1.02403,0.0,49.0,1.02403,90.0,100.0,4352.2,7.0,0,0,209.0,72.0,-73.863317,40.831177
23449,58,10538023.0,30360.0,1928.0,1,100,130601.5,264.6575215753793,36.7,79.5,0.0,0.0,2.14098,1.28458,0.0,0.0,0.0,90.0,100.0,6220.1,7.0,0,0,209.0,48.0,-73.87514,40.827711
23450,88,10538110.0,110276.0,2015.0,1,100,607701.0,227.4,169.2,79.5,0.0,0.0,1.3965,1.3965,1.1123058000000001,0.0,0.0,73.35970197368421,95.78447655077947,6487.6,5.0,4,0,203.0,185.0,-73.902773,40.829145
23451,58,10538565.0,51051.0,1937.0,1,100,159305.0,264.6575215753793,44.2,79.5,0.0,0.0,1.27265,0.82271,0.0,42.0,0.82271,90.0,100.0,5279.8,7.0,0,0,207.0,40303.0,-73.895196,40.869889
23452,58,10539413.0,101640.0,1927.0,1,100,391784.5,264.6575215753793,110.8,79.5,0.0,0.0,1.27273,0.80677,0.0,82.0,0.80677,90.0,100.0,10093.5,9.0,0,0,208.0,26702.0,-73.899936,40.872515
23453,58,10539661.0,40590.0,1926.0,1,100,170109.1,264.6575215753793,47.6,79.5,0.0,0.0,1.27273,0.96083,0.0,39.0,0.96083,90.0,100.0,4186.6,14.0,0,0,207.0,40702.0,-73.885239,40.867401
23454,58,10540212.0,59400.0,1923.0,1,100,225968.2,264.6575215753793,64.5,79.5,0.0,0.0,1.27273,0.92593,0.0,55.0,0.92593,90.0,100.0,8360.1,9.0,0,0,207.0,40701.0,-73.889601,40.870974
23455,58,10540559.0,71500.0,1926.0,1,100,258019.2,264.6575215753793,72.5,79.5,0.0,0.0,1.27273,0.90909,0.0,65.0,0.90909,90.0,100.0,8801.6,16.0,0,0,207.0,421.0,-73.882063,40.880784
23456,58,10541841.0,47597.0,1922.0,1,100,185025.0,264.6575215753793,52.6,79.5,0.0,0.0,1.27277,1.09251,0.0,52.0,1.09251,90.0,100.0,4594.425778134381,7.0,0,0,207.0,39901.0,-73.895366,40.862959
23459,58,10542218.0,35200.0,1917.0,1,100,164365.3,264.6575215753793,46.2,79.5,0.0,0.0,1.27273,1.02273,0.0,36.0,1.02273,90.0,100.0,6276.9,7.0,0,0,207.0,263.0,-73.90307,40.865672
23462,58,10543076.0,29700.0,1925.0,1,100,189924.4,264.6575215753793,52.0,79.5,0.0,0.0,1.27273,1.21212,0.0,36.0,1.21212,90.0,100.0,4594.425778134381,10.0,0,0,204.0,211.0,-73.92517,40.840679
23463,58,10543083.0,48400.0,1920.0,1,100,185242.5,264.6575215753793,51.6,79.5,0.0,0.0,1.27273,0.95041,0.0,46.0,0.95041,90.0,100.0,4594.425778134381,8.0,0,0,207.0,40303.0,-73.893042,40.869583
23488,96,10548418.0,104270.0,1950.0,1,100,247004.2,261.9,68.4,79.5,0.0,0.0,1.29472,0.70011,0.0,73.0,0.70011,90.0,100.0,3292.2,8.0,0,0,207.0,415.0,-73.88313,40.870405
23512,58,10557321.0,22119.6,1910.0,1,100,119184.7,41.7,32.3,79.5,0.0,0.0,1.88889,0.88889,0.0,0.0,0.0,73.35970197368421,95.78447655077947,694.5,4.0,4,0,205.0,23302.0,-73.903653,40.847574
23513,58,10557322.0,22119.6,1910.0,1,100,104074.8,44.8,28.2,79.5,0.0,0.0,1.3369,0.71301,0.0,0.0,0.0,73.35970197368421,95.78447655077947,792.9,4.0,3,0,205.0,23302.0,-73.90358,40.847818
23514,8,10557323.0,43905.0,2011.0,1,100,486720.0,167.7,132.0,79.5,0.0,0.0,1.73101,1.73101,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,4.0,3,0,208.0,273.0,-73.90397,40.870731
23563,89,10656340.0,116897.0,2018.0,1,90,625348.2,198.9,169.6,79.5,0.0,0.0,1.19764,1.07787,0.0,126.0,1.07787,73.35970197368421,95.78447655077947,5008.6,5.0,0,0,204.0,209.0,-73.914056,40.841459
23607,57,10715469.0,141721.0,1953.0,2,100,664289.6,574.9,186.9,79.5,0.0,0.0,1.76403,0.86085,0.0,122.0,0.86085,100.0,100.0,6422.8,5.0,0,0,208.0,297.0,-73.910806,40.882613
23615,72,10721944.0,76166.0,2018.0,1,100,345135.8,240.9,96.6,79.5,0.0,0.0,1.56238,1.05034,0.0,80.0,1.05034,70.0,100.0,4594.425778134381,5.0,0,0,207.0,42901.0,-73.874224,40.874213
23627,98,10755185.0,30800.0,1926.0,1,100,46826.528000000006,125.5,4.4,79.5,0.0,0.0,1.3961,1.16883,0.0,8.0,0.25974,0.0,100.0,4143.1,3.0,0,0,204.0,199.0,-73.925585,40.838439
23628,95,10755186.0,25460.0,1920.0,1,100,46826.528000000006,133.1,1.9,79.5,0.0,0.0,1.61037,1.25687,0.0,7.0,0.27494,0.0,0.0,571.82,2.0,0,0,201.0,31.0,-73.919302,40.8075377
23647,47,10757940.0,96075.0,1995.0,1,100,487247.0,373.8,133.9,79.5,0.0,0.0,1.24902,1.23862,0.0,119.0,1.23862,73.35970197368421,95.78447655077947,4383.9,4.0,5,0,205.0,23502.0,-73.904312,40.849669
