,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
373,54.0,72000.0,1929.0,1,100.0,60.2,7.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,9130.1,302.0,11.0,40.70071,-73.993241
374,77.0,91200.0,1919.0,1,100.0,58.4,4.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7137.0,301.0,519.0,40.715351,-73.956716
375,88.0,148800.0,1955.0,1,100.0,45.7,3.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,6125.9,303.0,291.0,40.69211,-73.931857
376,69.0,138000.0,1920.0,1,100.0,72.5,4.8,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,10551.4,301.0,523.0,40.711704,-73.960275
377,93.0,196800.0,1965.0,1,100.0,43.9,5.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,40543.9,316.0,36501.0,40.674103,-73.913273
378,73.0,115200.0,1959.0,1,100.0,62.4,3.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,303.0,28502.0,40.696733,-73.943652
379,67.0,92400.0,1907.0,1,100.0,73.9,2.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,58470.4,303.0,247.0,40.679097,-73.94684
380,63.0,52800.0,1931.0,1,100.0,67.3,8.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,313.0,35602.0,40.57790076,-73.969517
381,28.0,25715.0,1937.0,1,100.0,95.7,8.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,75344.28999999921,308.0,163.0,40.676094,-73.97038
382,65.0,205200.0,1974.0,1,100.0,56.4,7.7,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7325.9,303.0,293.0,40.68832,-73.932275
383,80.0,55200.0,1900.0,1,100.0,64.9,4.2,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,316.0,373.0,40.682458,-73.917088
384,64.0,66000.0,1908.0,1,100.0,59.3,4.9,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,11.476,305.0,1200.0,40.675766,-73.869469
385,58.0,88800.0,1931.0,1,100.0,58.3,4.4,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,304.0,445.0,40.707229,-73.919805
