,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
5750,54.0,107962.0,1988,1,100.0,76.9,22.5,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,153.0,40.773878,-73.981356
5751,54.0,107962.0,1988,1,100.0,76.9,22.5,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,7102.0,107.0,153.0,40.773878,-73.981356
5752,55.13228165660345,268475.0,1929,2,100.0,198.0,30.0,0.0,79.5,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,151.0,40.775674,-73.987504
5753,55.13228165660345,268475.0,1929,2,100.0,198.0,30.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,107.0,151.0,40.775674,-73.987504
5764,46.0,101280.0,1925,1,100.0,100.8,16.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,102.0,37.0,40.72703,-74.007378
5765,46.0,101280.0,1925,1,100.0,100.8,16.4,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,102.0,37.0,40.72703,-74.007378
5774,69.0,122690.0,1910,1,100.0,63.5,8.7,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,50650.25600000001,101.0,33.0,40.714824,-74.005779
5778,85.0,126529.0,1900,1,100.0,39.7,11.6,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,102.0,43.0,40.724658,-73.997413
5779,99.0,73616.0,1900,1,100.0,17.5,4.8,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,1232.0,102.0,49.0,40.724612,-73.997478
5792,61.0,97085.0,1925,1,100.0,91.8,8.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,106.0,92.0,40.752726,-73.974793
5793,61.0,97085.0,1925,1,100.0,91.8,8.0,0.0,84.7,0.0,0.0,0.0,0.9870696988034008,0.1636301881821998,37.19692364208867,0.5598969481473706,72.16347480279028,5942.8252124221,106.0,92.0,40.752726,-73.974793
