,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
20351,99.0,91111.0,1916,1,85,19.9,5.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,804.2,4,0,0,105.0,74.0,-73.983399,40.746261
20410,77.0,44566.0,1926,1,75,51.2,8.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,2,0,0,104.0,99.0,-74.00493,40.749704
20523,82.0,353933.0,1967,1,100,64.2,7.3,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,6731.0,3,0,0,106.0,88.0,-73.970935,40.750156
20531,74.0,301259.0,1984,1,80,51.2,11.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,7,4,0,106.0,92.0,-73.971554,40.754757
20545,37.0,33151.0,1926,1,80,87.7,16.4,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1270.9,6,0,0,105.0,96.0,-73.979898,40.758027
20566,69.0,29898.0,1920,1,100,77.9,5.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,272.3,4,0,0,103.0,18.0,-73.990674,40.720653
20579,58.0,135718.0,1956,1,75,74.5,13.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,4,0,0,105.0,102.0,-73.973104,40.760798
20592,51.0,48997.0,1926,1,100,75.2,12.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,6,0,0,105.0,11202.0,-73.97359,40.762816
20638,56.0,39500.0,1900,1,85,96.8,10.0,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2517.2,6,0,0,102.0,41.0,-73.996894,40.71918
20639,74.0,127701.0,2015,1,100,83.9,10.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,2360.1,5,0,0,104.0,111.0,-73.993362,40.753824
20699,84.0,32000.0,1900,1,80,31.1,9.1,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,644.3,5,0,0,102.0,47.0,-74.002078,40.721757
20700,85.0,42345.0,1900,1,100,51.6,6.5,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,4096.181922693163,12,0,0,102.0,47.0,-74.001937,40.721922
20728,46.0,61000.0,1967,1,100,70.5,9.8,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,1129.3,2,0,0,105.0,102.0,-73.974263,40.758948
20779,80.0,42176.0,1926,1,100,53.3,4.2,0.0,79.5,0.0,0.6154217272727274,0.41259895188363643,1.4735818181818174,0.09410454545454545,95.71428571428571,100.0,76.3,5,0,0,106.0,108.0,-73.965729,40.761183
