,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
2337,34,69441.0,1937.0,1,100,4.2,1.1,294290.4,366.7,6.5,5.3,79.5,0.0,0.0,1.90089,0.95045,0.0,66.0,0.95045,90.0,100.0,4180.8,8.0,0,0,208.0,295.0,-73.908998,40.882683
2338,79,312000.0,1955.0,1,100,3.4,0.6,1058012.0,860.9,3.7,2.8,79.5,0.0,0.0,1.08333,0.69231,0.69231,0.0,0.0,90.0,100.0,9773.3,5.0,0,0,208.0,297.0,-73.912248,40.886429
2339,64,67987.0,1970.0,1,100,4.0,0.7,274125.8,228.8,4.5,3.4,79.5,0.0,0.0,1.23553,0.97077,0.0,66.0,0.97077,90.0,100.0,3852.3,5.0,0,0,208.0,285.0,-73.90793,40.883355
2352,82,92161.0,1954.0,1,100,3.3,0.6,304053.9,259.0,3.8,2.8,79.5,0.0,0.0,1.19356,0.74869,0.0,69.0,0.74869,0.0,100.0,2299.5,5.0,0,0,208.0,301.0,-73.918291,40.880741
2355,89,100488.0,1954.0,1,100,3.4,0.5,343713.7,263.4,3.6,2.6,79.5,0.0,0.0,1.3932,0.84587,0.0,85.0,0.84587,0.0,100.0,4653.5,11.0,0,0,208.0,297.0,-73.911459,40.884197
2359,80,80000.0,1962.0,1,100,3.4,0.7,271742.5,269.7,4.4,3.4,79.5,0.0,0.0,1.7,0.8,0.0,64.0,0.8,90.0,100.0,2177.6,5.0,0,0,208.0,337.0,-73.902473,40.88786849
2360,70,57529.0,1969.0,1,100,3.7,0.8,215214.1,222.5,4.9,3.9,79.5,0.0,0.0,1.68611,1.04295,0.0,60.0,1.04295,90.0,100.0,2820.4,5.0,0,0,208.0,345.0,-73.896517,40.88786849
2364,55,64510.0,1954.0,1,100,4.3,0.8,277978.3,252.3,5.1,3.9,79.5,0.0,0.0,1.55015,0.80608,0.0,52.0,0.80608,0.0,100.0,2106.4,8.0,0,0,208.0,30701.0,-73.911082,40.88786849
2372,38,61528.0,1953.0,1,100,5.1,1.0,315576.6,281.4,6.0,4.6,79.5,0.0,0.0,1.7878,1.12144,1.112238732,0.0,0.0,0.0,100.0,3441.9,5.0,0,0,208.0,301.0,-73.919747,40.881931
2505,67,249248.0,1957.0,1,100,4.2,0.7,1058641.8,882.0,4.7,3.5,79.5,0.0,0.0,1.60483,0.80643,0.0,190.0,0.80643,0.0,100.0,10134.3,3.0,0,0,212.0,422.0,-73.856551,40.88786849
