,score,largest_property_use_type_1,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site,green_power_offsite_kwh,egrid_output_emissions_rate,avoided_emissions_offsite,avoided_emissions_onsite_1,percent_of_electricity_that,multifamily_housing_total_1,multifamily_housing_number_5,multifamily_housing_number_6,multifamily_housing_number_7,multifamily_housing_percent,water_use_all_water_sources,community_board,census_tract,latitude,longitude
20326,3.0,38757.0,1923,1,100.0,108.7,10.9,0.0,84.7,0.0,0.0,0.0,1.00627,0.0,9.0,0.23222,100.0,5942.8252124221,204.0,223.0,40.840138,-73.916591
20335,1.0,30540.0,1920,1,100.0,188.6239999999998,13.5,0.0,84.7,0.0,0.0,0.0,0.98232,0.0,30.0,0.98232,90.0,5942.8252124221,205.0,251.0,40.854022,-73.9083
20336,26.0,31460.0,1996,1,100.0,82.2,5.5,0.0,84.7,0.0,0.0,0.0,1.01081,0.0,0.0,0.0,72.16347480279028,5942.8252124221,203.0,165.0,40.842483,-73.900632
20340,100.0,45300.0,1924,1,100.0,25.4,0.9,0.0,84.7,0.0,0.0,0.0,1.2,0.0,0.0,0.0,72.16347480279028,3111.9,205.0,251.0,40.858148,-73.905579
20341,81.0,145490.0,1925,1,100.0,62.2,5.1,0.0,84.7,0.0,0.0,0.0,0.91415,0.0,46.0,0.31617,100.0,25681.4,204.0,225.0,40.839249,-73.913448
20342,7.0,39400.0,1925,1,100.0,118.3,6.2,0.0,84.7,0.0,0.0,0.0,0.88832,0.0,7.0,0.17766,100.0,5942.8252124221,205.0,24502.0,40.854082,-73.915095
20343,8.0,65280.0,1925,1,100.0,111.7,8.0,0.0,84.7,0.0,0.0,0.0,0.93444,0.0,20.0,0.30637,100.0,5942.8252124221,205.0,24502.0,40.853986,-73.914785
20356,97.0,44010.0,1940,1,100.0,47.1,5.1,0.0,84.7,0.0,0.0,0.0,1.1361,0.0,50.0,1.1361,50.0,6612.0,204.0,22902.0,40.843061,-73.9068
20357,97.0,44010.0,1940,1,100.0,47.1,5.1,0.0,84.7,0.0,0.0,0.0,1.1361,0.0,50.0,1.1361,50.0,6612.0,204.0,22902.0,40.843061,-73.9068
20358,44.0,48760.0,1923,1,100.0,108.6,3.5,0.0,84.7,0.0,0.0,0.0,1.04594,0.0,51.0,1.04594,50.0,5942.8252124221,207.0,40302.0,40.869122,-73.891061
20359,44.0,48760.0,1923,1,100.0,108.6,3.5,0.0,84.7,0.0,0.0,0.0,1.04594,0.0,51.0,1.04594,50.0,5942.8252124221,207.0,40302.0,40.869122,-73.891061
20362,29.0,34556.0,1924,1,100.0,121.0,6.5,0.0,84.7,0.0,0.0,0.0,1.41799,0.0,49.0,1.41799,100.0,5268.5,204.0,18102.0,40.830566,-73.918822
20363,29.0,34556.0,1924,1,100.0,121.0,6.5,0.0,84.7,0.0,0.0,0.0,1.41799,0.0,49.0,1.41799,100.0,5268.5,204.0,18102.0,40.830566,-73.918822
20364,31.0,29470.0,1922,1,100.0,129.1,4.1,0.0,84.7,0.0,0.0,0.0,1.28945,0.0,38.0,1.28945,100.0,4620.6,204.0,18102.0,40.83026,-73.917973
20365,31.0,29470.0,1922,1,100.0,129.1,4.1,0.0,84.7,0.0,0.0,0.0,1.28945,0.0,38.0,1.28945,100.0,4620.6,204.0,18102.0,40.83026,-73.917973
20366,70.0,27050.0,1925,1,100.0,80.4,4.6,0.0,84.7,0.0,0.0,0.0,0.99815,0.0,27.0,0.99815,100.0,1983.8,207.0,263.0,40.864232,-73.904522
20367,64.0,27050.0,1925,1,100.0,85.6,4.6,0.0,84.7,0.0,0.0,0.0,0.99815,0.0,27.0,0.99815,100.0,1983.8,207.0,263.0,40.864232,-73.904522
20368,29.0,25760.0,1910,1,100.0,96.6,5.9,0.0,84.7,0.0,0.0,0.0,0.81522,0.0,21.0,0.81522,50.0,3695.5,203.0,135.0,40.828474,-73.900721
20369,29.0,25760.0,1910,1,100.0,96.6,5.9,0.0,84.7,0.0,0.0,0.0,0.81522,0.0,21.0,0.81522,50.0,3695.5,203.0,135.0,40.828474,-73.900721
20370,93.0,44810.0,1926,1,100.0,60.0,3.8,0.0,84.7,0.0,0.0,0.0,1.02656,0.0,46.0,1.02656,50.0,5264.0,204.0,18102.0,40.833616,-73.917026
20371,93.0,44810.0,1926,1,100.0,60.0,3.8,0.0,84.7,0.0,0.0,0.0,1.02656,0.0,46.0,1.02656,50.0,5264.0,204.0,18102.0,40.833616,-73.917026
20374,32.0,44644.0,1928,1,100.0,118.2,4.4,0.0,84.7,0.0,0.0,0.0,1.07517,0.0,48.0,1.07517,50.0,6683.1,204.0,22102.0,40.837467,-73.916642
20375,40.0,44644.0,1928,1,100.0,110.5,4.4,0.0,84.7,0.0,0.0,0.0,1.07517,0.0,48.0,1.07517,50.0,6683.1,204.0,22102.0,40.837467,-73.916642
20376,10.0,47064.0,1924,1,100.0,145.2,4.5,0.0,84.7,0.0,0.0,0.0,1.10488,0.0,52.0,1.10488,50.0,5942.8252124221,207.0,255.0,40.860513,-73.910727
20377,10.0,47064.0,1924,1,100.0,145.2,4.5,0.0,84.7,0.0,0.0,0.0,1.10488,0.0,52.0,1.10488,50.0,5942.8252124221,207.0,255.0,40.860513,-73.910727
20378,1.0,39824.0,1927,1,100.0,188.6239999999998,9.9,0.0,84.7,0.0,0.0,0.0,1.2053,0.0,48.0,1.2053,50.0,5942.8252124221,203.0,151.0,40.833006,-73.898026
20379,1.0,39824.0,1927,1,100.0,188.6239999999998,9.9,0.0,84.7,0.0,0.0,0.0,1.2053,0.0,48.0,1.2053,50.0,5942.8252124221,203.0,151.0,40.833006,-73.898026
20382,76.0,43350.0,1927,1,100.0,88.1,2.9,0.0,84.7,0.0,0.0,0.0,1.13033,0.0,49.0,1.13033,50.0,2955.6,211.0,256.0,40.84292,-73.850911
20383,76.0,43350.0,1927,1,100.0,88.1,2.9,0.0,84.7,0.0,0.0,0.0,1.13033,0.0,49.0,1.13033,50.0,2955.6,211.0,256.0,40.84292,-73.850911
20384,35.0,31292.0,1927,1,100.0,128.1,4.9,0.0,84.7,0.0,0.0,0.0,1.5659,0.0,49.0,1.5659,50.0,5942.8252124221,209.0,21601.0,40.839549,-73.863864
20385,43.0,31292.0,1927,1,100.0,119.6,4.9,0.0,84.7,0.0,0.0,0.0,1.5659,0.0,49.0,1.5659,50.0,5942.8252124221,209.0,21601.0,40.839549,-73.863864
20386,40.0,41410.0,1927,1,100.0,118.9,3.7,0.0,84.7,0.0,0.0,0.0,1.23159,0.0,51.0,1.23159,50.0,5942.8252124221,205.0,21502.0,40.846851,-73.916583
20387,40.0,41410.0,1927,1,100.0,118.5,3.7,0.0,84.7,0.0,0.0,0.0,1.23159,0.0,51.0,1.23159,50.0,5942.8252124221,205.0,21502.0,40.846851,-73.916583
20388,78.0,32590.0,1924,1,100.0,44.7,10.2,0.0,84.7,0.0,0.0,0.0,1.166,0.0,38.0,1.166,50.0,5942.8252124221,205.0,243.0,40.852338,-73.909864
