,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,green_power_offsite_kwh,egrid_output_emissions_rate_kgco2e_mbtu,percent_of_electricity_that_is_green_power,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_total,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,longitude,latitude,letters
1076,85.0,263067.0,1929,1,100,57.3,11.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,8,0,0,-73.974877,40.758825,B
1077,85.0,142235.0,1964,1,100,53.1,12.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,4,0,0,-73.969254,40.75791,B
1079,69.0,615347.0,1954,1,100,65.2,10.7,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,2,0,0,-73.983516,40.755651,C
1082,55.0,777885.0,1967,1,85,82.1,12.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,15325.4,3,0,0,-73.974495,40.756456,D
1084,69.0,920386.9700000044,1961,1,75,56.2,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,20684.4,3,0,0,-73.972245,40.759541,C
1090,69.0,369787.0,1962,1,100,84.5,14.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,3,0,0,-73.973161,40.761177,C
1091,88.0,203835.0,1987,1,100,75.4,14.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2439.8,4,0,0,-73.970116,40.75062,A
1092,76.0,352588.0,1981,1,80,62.0,12.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5772.1,4,0,0,-74.012631,40.706638,B
1093,50.0,801685.0,1924,1,100,89.9,12.1,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,3,0,0,-74.00879,40.708157,D
1094,65.0,135684.0,1913,1,100,59.0,14.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,1367.8,4,0,0,-73.999553,40.719526,C
1096,81.0,329961.0,1959,1,95,45.7,10.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2564.0,2,0,0,-74.006341,40.706397,B
1103,91.0,766718.0,1910,1,100,40.4,9.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,6425.0,2,0,0,-73.988675,40.7493,A
1104,82.0,920386.9700000044,1976,1,95,53.6,12.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,20248.3,8,0,0,-73.970914,40.758465,B
1105,71.0,561245.0,1989,1,100,66.0,14.9,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5970.9,3,0,0,-73.979276,40.763514,B
1106,56.0,277455.0,1970,1,90,82.3,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2633.3,9,0,0,-73.973797,40.761081,C
1107,81.0,920386.9700000044,1938,1,100,54.1,11.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,6271.4,3,0,0,-74.009775,40.712586,B
1108,77.0,453725.0,1931,1,80,52.1,10.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,4096.18123289184,9,5,0,-73.975805,40.757582,B
1109,58.0,920386.9700000044,1968,1,95,101.4,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,25464.4,11,0,0,-73.973189,40.76402,C
1113,59.0,617181.0,1939,1,85,85.2,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5646.7,5,0,0,-73.981089,40.758977,C
1114,47.0,316653.0,1939,1,70,90.7,9.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,3741.4,3,0,0,-73.979165,40.758104,D
1115,43.0,488084.0,1939,1,100,119.9,10.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35608.4,3,0,0,-73.979288,40.757904,D
1116,21.0,89924.0,1939,1,70,123.2,13.2,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2800.3,3,0,0,-73.977595,40.75801,D
1117,8.0,97900.0,1939,1,90,180.3249999999999,15.5,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,154.6,3,0,0,-73.977368,40.758323,D
1118,21.0,920386.9700000044,1939,1,85,147.1,12.3,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,30875.5,3,0,0,-73.977036,40.758782,D
1119,24.0,345119.0,1939,1,100,152.8,10.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,24244.9,3,0,0,-73.97823,40.75938,D
1121,63.0,920386.9700000044,1939,1,95,17.4,10.813295580110498,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,35897.8350000002,16,0,0,-73.978692,40.758754,C
1124,81.0,181425.0,1910,1,85,66.6,7.4,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,1606.1,8,0,0,-73.984641,40.742534,B
1125,65.0,96002.0,1910,1,95,70.3,11.6,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,2454.4,6,0,0,-73.984757,40.742375,C
1126,79.0,818663.0,1931,1,75,62.3,13.8,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,6350.1,8,0,0,-74.007295,40.72754,B
1127,94.0,506772.0,1923,1,100,88.0,23.0,0.0,79.5,0.0,0.6154217272727274,0.41315932727272736,1.7763636363636357,0.09410454545454545,95.71428571428571,100.0,5790.8,16,7,0,-74.007043,40.729135,A
