,score,property_id,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_10_or_more_stories,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude
1197,100,2609681.34,1954.0,1,100,3.8,0.1,1125106.0,1.6,0.6,79.5,0.0,0.0,1.39738,0.0,0.84998,0.0,60.0,0.204,80.0,90.0,9474.8,7.0,0,0,204.0,5902.0,-73.923522,40.825315
1229,68,2609681.34,1940.0,1,100,3.5,0.7,384522.0,4.6,3.6,79.5,0.0,0.0,1.38634,0.0,0.87461,0.0,94.0,0.87461,0.0,90.0,4594.425778134381,9.0,0,0,205.0,217.0,-73.913511,40.849226
1241,99,2609681.34,1940.0,1,100,3.5,0.1,316053.9,3.5,2.5,79.5,0.0,0.0,1.77997,0.0,1.06114,0.0,93.0,1.06114,0.0,80.0,6146.7,12.0,0,0,206.0,393.0,-73.883167,40.849259
1242,49,2609681.34,1940.0,1,100,4.4,0.9,303157.7,5.6,4.4,79.5,0.0,0.0,1.6647,0.0,1.18042,0.0,78.0,1.18042,0.0,80.0,8292.2,9.0,0,0,203.0,185.0,-73.90436,40.828534
1243,8,2609681.34,1910.0,1,100,5.8,0.9,440435.4,5.7,4.2,79.5,0.0,0.0,0.7631076,0.0,0.5759018,0.0,35.0,0.45891,0.0,80.0,7270.9,10.0,0,0,206.0,359.0,-73.885315,40.842378
1244,56,2609681.34,1930.0,1,100,4.7,0.7,287425.4,4.9,3.6,79.5,0.0,0.0,1.48034,0.0,0.89157,0.0,53.0,0.89157,0.0,80.0,6973.3,9.0,0,0,204.0,195.0,-73.922916,40.830975
1245,55,2609681.34,1930.0,1,100,3.8,0.8,229613.2,4.9,3.9,79.5,0.0,0.0,1.31212,0.0,0.89157,0.0,53.0,0.89157,0.0,80.0,6042.0,7.0,0,0,204.0,195.0,-73.923032,40.830774
1280,58,2609681.34,1935.0,1,100,7.104354130776716,0.5096468802428696,887466.4674056921,4.994492941049683,0.0,79.5,0.0,0.0,0.80884,0.0,0.701,0.0,78.0,0.701,0.0,100.0,4594.425778134381,0.0,0,0,207.0,413.0,-73.886143,40.871881
1281,59,2609681.34,1928.0,1,100,5.8,0.0,415597.6,5.3,3.7,79.5,0.0,0.0,1.23003,0.0,0.95508,0.0,66.0,0.95508,100.0,100.0,4594.425778134381,19.0,0,0,207.0,40701.0,-73.888752,40.872853
1289,58,2609681.34,1928.0,1,100,7.104354130776716,0.5096468802428696,887466.4674056921,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.0,1.2,0.0,0.0,0.0,100.0,100.0,4594.425778134381,0.0,0,0,204.0,201.0,-73.926043,40.842293
1293,58,2609681.34,1929.0,1,100,7.104354130776716,0.5096468802428696,887466.4674056921,4.994492941049683,0.0,79.5,0.0,0.0,1.4,0.0,1.09027,0.0,59.0,1.09027,100.0,100.0,4594.425778134381,0.0,0,0,212.0,408.0,-73.864429,40.88786849
1301,63,2609681.34,1940.0,1,100,3.8,0.7,360484.4,4.6,3.5,79.5,0.0,0.0,1.24655,0.0,0.9487,0.0,86.0,0.9487,90.0,100.0,6127.6,8.0,0,0,207.0,257.0,-73.913243,40.860663
1302,59,2609681.34,1931.0,1,100,4.0,0.7,287969.0,4.5,3.3,79.5,0.0,0.0,1.05114,0.0,0.9233,0.0,65.0,0.9233,90.0,100.0,4711.6,8.0,0,0,207.0,257.0,-73.913674,40.860342
1303,97,2609681.34,1932.0,1,100,3.3,0.3,249018.4,2.6,1.7,79.5,0.0,0.0,1.02273,0.0,0.9233,0.0,65.0,0.9233,90.0,100.0,4008.5,9.0,0,0,207.0,257.0,-73.913829,40.860224
1304,69,2609681.34,1963.0,1,100,5.5,0.6,908013.8,4.4,2.8,79.5,0.0,0.0,1.5076,158.0,0.99666,0.99666,0.0,0.0,90.0,100.0,10387.4,6.0,0,0,204.0,22703.0,-73.911464,40.844479
