,score,largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings,occupancy,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_site_electricity_kwh,direct_ghg_emissions_metric_tons_co2e,total_ghg_emissions_intensity_kgco2e_ft,direct_ghg_emissions_intensity_kgco2e_ft,egrid_output_emissions_rate_kgco2e_mbtu,avoided_emissions_offsite_green_power_metric_tons_co2e,percent_of_electricity_that_is_green_power,multifamily_housing_number_of_bedrooms_density_number_per_1_000_sq_ft,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_high_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_density_number_per_1_000_sq_ft,multifamily_housing_percent_that_can_be_cooled,multifamily_housing_percent_that_can_be_heated,water_use_all_water_sources_kgal,number_of_active_energy_meters_used_to_compute_metrics,number_of_active_energy_meters_not_used_to_compute_metrics,number_of_active_it_meters,community_board,census_tract,longitude,latitude,letters
11569,81.0,26047.0,1897,1,65,6.2,0.0,161056.9,53.5,3.7,2.1,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,1360.4,4.0,0,0,105.0,58.0,-73.989527,40.744821,B
11570,37.0,26000.0,1955,1,95,5.3,0.7,138030.1,85.5,4.7,3.3,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,1499.1,7.0,0,0,106.0,100.0,-73.96935,40.759307,D
11571,1.0,32929.0,1911,1,95,10.8,0.5096468802428696,355259.8,223.0,9.7,6.8,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,14.0,0,0,108.0,15002.0,-73.957069,40.784274,D
11575,16.0,37824.0,1922,1,95,4.5,0.0,171248.2,254.8,8.0,6.7,79.5,0.0,0.0,1.4,1.2,0.0,0.0,0.0,73.35970197368421,95.78447655077947,1715.1,7.0,0,0,102.0,63.0,-73.997272,40.735818,D
11583,70.0,37674.0,1925,1,100,5.2,0.7,197098.5,133.8,5.0,3.6,79.5,0.0,0.0,2.12348,1.19446,0.0,45.0,1.19446,100.0,100.0,1868.1,5.0,0,0,107.0,183.0,-73.974199,40.794784,C
11584,68.0,45000.0,1936,1,100,3.0,0.7,134526.6,159.1,4.4,3.5,79.5,0.0,0.0,1.06667,0.93333,0.0,42.0,0.93333,0.0,100.0,1887.3,6.0,0,0,112.0,295.0,-73.925665,40.867352,C
11595,40.0,133885.0,1931,1,95,4.0,0.8,535592.5,510.2,4.9,3.8,79.5,0.0,0.0,1.40001,1.19998,0.0,0.0,0.0,73.35970197368421,95.78447655077947,4594.425778134381,3.0,0,0,104.0,89.0,-74.003511,40.745722,D
11596,89.0,140360.0,1931,1,90,7.3,0.1,1022924.8,63.4,2.4,0.5,79.5,0.0,0.0,1.511241939483864,0.9821742159230608,0.1701013832035182,37.41073014359136,0.5740309088543875,73.35970197368421,95.78447655077947,4594.425778134381,3.0,0,0,104.0,89.0,-74.005229,40.746216,A
11598,47.0,30154.0,1950,1,100,7.4,0.0,273551.4,92.5,4.5,2.5,79.5,0.0,0.0,0.66326,0.66326,0.0,20.0,0.66326,90.0,100.0,1225.6,7.0,0,0,104.0,91.0,-73.994049,40.743421,D
11599,90.0,26142.0,1939,1,100,4.7,0.7,122268.8,80.4,4.4,3.1,79.5,0.0,0.0,2.37166,1.64486,0.0,43.0,1.64486,90.0,100.0,1254.5,6.0,0,0,105.0,68.0,-73.985439,40.740679,A
